Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Slk Software Services,IT Services & Consulting ,24,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",871,85000,54,106,99
Worley,Engineering & Construction ,53,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,870,56000,73,62,127
Siemens Gamesa Renewable Energy,Power ,48,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,860,48000,35,37,106
Morningstar,Financial Services ,40,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",860,7000,157,146,125
Hinduja Leyland Finance,NBFC ,18,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,858,23000,17,1,73
Sonata Software,IT Services & Consulting ,38,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",854,107000,69,92,89
Strides Pharma,Pharma ,34,3.9,Skill Development / Learning,"Job Security, Promotions / Appraisal",843,39000,46,4,145
Episource,IT Services & Consulting ,18,3.8,"Job Security, Company Culture",Promotions / Appraisal,842,37000,169,3,84
Decathlon,Retail ,48,4.0,"Skill Development / Learning, Company Culture, Job Security","Work Life Balance, Promotions / Appraisal",841,34000,53,10,115
OpenText Technologies,Software Product ,33,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,838,86000,85,143,106
Kirloskar Oil Engines,Industrial Machinery ,78,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,834,36000,33,1,104
PNC Infratech,Engineering & Construction ,25,4.0,Job Security,Promotions / Appraisal,833,32000,43,3,81
Bajaj Housing Finance,NBFC ,16,3.9,Skill Development / Learning,"Work Life Balance, Company Culture, Work Satisfaction",831,46000,39,19,62
Parexel International,Healthcare ,42,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,825,53000,53,3,127
iMerit,Software Product ,12,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",825,38000,67,16,104
BGR Energy Systems,Engineering & Construction ,39,3.9,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",818,39000,34,1,124
Ion Exchange India,Waste Management ,60,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",815,41000,41,19,91
Novo Nordisk,Pharma ,101,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,809,5000,60,144,134
OM Logistics,Logistics ,25,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,794,3000,40,8,101
Hyundai Mobis,Auto Components ,7,3.9,Job Security,Promotions / Appraisal,789,45000,45,4,143
TechnipFMC,Industrial Machinery ,7,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,787,52000,50,1,111
GAO Tek,Electrical Equipment ,19,4.5,"Skill Development / Learning, Work Life Balance, Company Culture",Salary & Benefits,783,132,39,22,41
GEP Worldwide,IT Services & Consulting ,25,3.8,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",774,7000,71,85,133
TK Elevator,Industrial Machinery ,29,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,771,35000,33,1,101
Kirloskar Brothers,Industrial Machinery ,136,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,766,39000,43,4,102
